Elo Rank,Player,Age,Elo,Unnamed: 4,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Unnamed: 11,Peak Elo,Peak Month,Unnamed: 14,WTA Rank,Log diff,NormName
195,Astra Sharma,29.7,1574.4,,186,1536.6,172,1534.7,172,1483.8,,1708.0,2019-04,,143,0.31,Sharma A.
196,Aleksandra Krunic,32.1,1574.1,,196,1520.1,140,1569.3,129,1527.7,,1838.0,2018-01,,363,-0.62,Krunic A.
197,Darja Vidmanova,22.3,1573.8,,163,1570.7,240,1442.8,206,1461.9,,1573.8,2025-06,,249,-0.23,Vidmanova D.
198,Julieta Pareja,16.1,1572.7,,230,1474.9,171,1535.8,207,1461.3,,1619.7,2025-03,,326,-0.5,Pareja J.
199,Aoi Ito,21.0,1572.2,,142,1591.7,385,1316.8,259,1421.9,,1786.2,2024-12,,109,0.6,Ito A.
200,Mary Stoiana,22.0,1567.8,,176,1556.5,296,1390.6,214,1458.9,,1658.4,2024-10,,262,-0.27,Stoiana M.
201,Xinyu Gao,27.5,1566.8,,199,1519.0,192,1509.9,248,1430.7,,1609.8,2025-02,,149,0.3,Gao X.
202,Linda Klimovicova,20.9,1565.6,,166,1565.5,252,1430.3,224,1445.6,,1651.9,2025-05,,187,0.08,Klimovicova L.
203,Jessika Ponchet,28.7,1565.0,,203,1511.0,179,1526.6,159,1499.1,,1622.0,2024-06,,134,0.42,Ponchet J.
204,Louisa Chirico,29.0,1564.5,,207,1504.6,166,1541.9,230,1442.3,,1812.7,2016-10,,155,0.27,Chirico L.
205,Leyre Romero Gormaz,23.1,1563.5,,236,1471.5,176,1529.2,284,1400.8,,1656.1,2024-06,,140,0.38,Gormaz L.
206,Mona Barthel,34.9,1562.9,,187,1536.4,184,1523.7,264,1420.5,,2000.1,2012-05,,194,0.06,Barthel M.
207,Jodie Burrage,26.0,1562.7,,174,1557.5,300,1387.7,140,1516.8,,1712.3,2023-07,,162,0.25,Burrage J.
208,Mirjam Bjorklund,26.7,1561.6,,190,1529.6,193,1509.8,115,1542.0,,1740.8,2023-06,,604,-1.07,Bjorklund M.
209,Tyra Caterina Grant,17.2,1559.5,,206,1506.0,208,1489.8,218,1454.7,,1624.1,2025-01,,303,-0.37,Grant T.
210,Joanna Garland,23.8,1557.3,,248,1461.1,189,1513.4,196,1464.9,,1567.3,2025-06,,144,0.38,Garland J.
211,Olivia Gadecki,23.1,1556.4,,185,1537.0,212,1483.5,163,1494.7,,1767.5,2024-10,,104,0.71,Gadecki O.
212,Erika Andreeva,20.9,1555.9,,179,1553.8,218,1469.4,178,1480.0,,1795.0,2024-03,,102,0.73,Andreeva E.
213,Daria Snigur,23.2,1553.9,,201,1514.4,250,1433.4,141,1516.6,,1708.0,2024-07,,156,0.31,Snigur D.
214,Carson Branstine,24.7,1552.8,,197,1519.9,232,1450.0,153,1502.7,,1562.3,2025-06,,196,0.09,Branstine C.
215,Tamara Zidansek,27.4,1550.3,,209,1501.0,169,1537.1,222,1450.6,,1857.1,2019-06,,206,0.04,Zidansek T.
216,Kateryna Baindl,30.5,1549.7,,192,1527.9,175,1530.0,281,1404.4,,1825.4,2016-02,,559,-0.95,Baindl K.
217,Panna Udvardy,26.6,1549.7,,208,1504.2,200,1501.9,164,1493.7,,1704.6,2023-01,,169,0.25,Udvardy P.
218,Camilla Rosatello,30.0,1549.0,,243,1467.5,194,1507.4,299,1391.7,,1565.3,2025-06,,252,-0.14,Rosatello C.
219,Mariam Bolkvadze,27.4,1548.2,,188,1534.3,358,1334.4,219,1453.2,,1622.4,2021-09,,197,0.11,Bolkvadze M.
220,Carole Monnet,23.4,1544.3,,211,1500.4,206,1495.5,297,1393.5,,1544.3,2025-05,,202,0.09,Monnet C.
221,Barbora Palicova,21.2,1542.1,,249,1460.2,187,1517.3,215,1458.3,,1672.5,2022-11,,171,0.26,Palicova B.
222,Ysaline Bonaventure,30.5,1540.2,,191,1528.2,210,1486.8,190,1471.6,,1772.2,2019-07,,822,-1.31,Bonaventure Y.
223,Laura Samson,17.2,1536.9,,264,1440.1,177,1527.8,226,1443.4,,1536.9,2025-06,,272,-0.2,Samson L.
224,Sijia Wei,21.5,1535.7,,143,1591.1,348,1345.6,240,1435.4,,1762.6,2025-01,,131,0.54,Wei S.
225,Guiomar Maristany Zuleta De Reales,26.3,1535.3,,281,1413.5,174,1530.9,229,1442.6,,1589.2,2025-05,,179,0.23,Reales G.
226,Anastasiya Soboleva,21.1,1534.7,,272,1429.1,198,1505.0,283,1403.5,,1571.2,2025-05,,237,-0.05,Soboleva A.
227,Arina Rodionova,35.4,1531.1,,193,1525.6,282,1410.3,177,1481.1,,1643.7,2017-07,,215,0.05,Rodionova A.
228,Marina Bassols Ribera,25.4,1528.4,,212,1498.0,207,1493.2,216,1456.8,,1675.3,2024-01,,235,-0.03,Ribera M.
229,Destanee Aiava,25.0,1528.0,,189,1530.6,268,1421.8,332,1376.4,,1640.5,2025-02,,160,0.36,Aiava D.
230,Julie Belgraver,22.9,1525.2,,277,1422.0,213,1483.0,238,1437.6,,1549.3,2025-06,,277,-0.19,Belgraver J.
231,Andrea Lazaro Garcia,30.5,1520.2,,260,1444.4,203,1498.1,237,1439.1,,1553.7,2022-05,,180,0.25,Garcia A.
232,Tereza Martincova,30.6,1520.1,,202,1514.3,264,1422.7,142,1516.0,,1811.8,2022-03,,513,-0.79,Martincova T.
233,Lizette Cabrera,27.4,1519.8,,222,1483.5,309,1380.9,176,1482.8,,1588.0,2017-11,,204,0.13,Cabrera L.
